cod_giro_comercio;nom_giro_comercio
742;SERVICIOS VETERINARIOS
763;COOPERATIVAS AGRÍCOLAS
780;SERVICIOS DE PAISAJISMO Y HORTICULTURA
1520;CONTRATISTAS GENERALES: RESIDENCIALES Y COMERCIALES
1711;CONTRATISTAS DE CALEFACCIÓN, PLOMERÍA Y AIRE ACONDICIONADO
1731;CONTRATISTAS ELÉCTRICOS
1740;CONTRATISTAS DE ALBAÑILERÍA, CANTERÍA, COLOCACIÓN DE BALDOSAS, ENLUCIDO Y AISLAMIENTO
1750;CONTRATISTAS DE CARPINTERÍA
1761;CONTRATISTAS DE TECHADO, REVESTIMIENTO Y CHAPISTERÍA
1771;CONTRATISTAS DE TRABAJOS EN CONCRETO
1799;CONTRATISTAS DE OFICIOS ESPECIALES (NO CLASIFICADOS EN OTRA PARTE)
2741;PUBLICACIONES Y IMPRENTAS DIVERSAS
2791;COMPOSICIÓN TIPOGRÁFICA, FABRICACIÓN DE PLANCHAS Y SERVICIOS RELACIONADOS
2842;PREPARACIONES ESPECIALES PARA LIMPIEZA, PULIDO Y SANEAMIENTO
3000;UNITED AIRLINES
3001;AMERICAN AIRLINES
3002;PAN AMERICAN
3003;EUROFLY AIRLINES
3004;DRAGON AIRLINES
3005;BRITISH AIRWAYS
3006;JAPAN AIRLINES
3007;AIR FRANCE
3008;LUFTHANSA
3009;AIR CANADA
3010;KLM (ROYAL DUTCH AIRLINES)
3011;AEROFLOT
3012;QANTAS
3013;ITA AIRWAYS (ANTIGUA ALITALIA)
3014;SAUDI ARABIAN AIRLINES
3015;SWISS INTERNATIONAL AIRLINES
3016;SAS
3017;SOUTH AFRICAN AIRWAYS
3018;VARIG (BRASIL)
3019;EASTERN AIRLINES
3020;AIR-INDIA
3021;AIR ALGERIE
3022;PHILIPPINE AIRLINES
3023;MEXICANA
3024;PAKISTAN INTERNATIONAL
3025;AIR NEW ZEALAND
3026;EMIRATES AIRLINES
3027;UTA/INTERAIR
3028;KM MALTA AIRLINES (ANTIGUA AIR MALTA)
3029;SN BRUSSELS AIRLINES
3030;AEROLÍNEAS ARGENTINAS
3031;OLYMPIC AIRWAYS
3032;EL AL
3033;ANSETT AIRLINES
3034;ETIHAD AIRWAYS
3035;TAP (PORTUGAL)
3036;VASP (BRASIL)
3037;EGYPTAIR
3038;KUWAIT AIRWAYS
3039;AVIANCA
3040;GULF AIR (BAHREIN)
3041;BALKAN-BULGARIAN AIRLINES
3042;FINNAIR
3043;AER LINGUS
3044;AIR LANKA
3045;NIGERIA AIRWAYS
3046;CRUZEIRO DO SUL (BRASIL)
3047;TURKISH AIRLINES
3048;ROYAL AIR MAROC
3049;TUNIS AIR
3050;ICELANDAIR
3051;AUSTRIAN AIRLINES
3052;LAN AIRLINES
3053;AVIACO (ESPAÑA)
3054;LADECO (CHILE)
3055;LAB (BOLIVIA)
3056;JET AIRWAYS
3057;VIRGIN AMERICA
3058;DELTA
3059;DBA AIRLINES
3060;NORTHWEST
3061;CONTINENTAL
3062;HAPAG-LLOYD EXPRESS AIRLINES
3063;US AIRWAYS
3064;ADRIA AIRWAYS
3065;AIRINTER
3066;SOUTHWEST
3067;VANGUARD AIRLINES
3068;AIR ASTANA
3069;SUN COUNTRY AIRLINES
3070;FLYDUBAI
3071;AIR BRITISH COLUMBIA
3072;CEBU PACIFIC AIRLINES
3075;SINGAPORE AIRLINES
3076;AEROMÉXICO
3077;THAI AIRWAYS
3078;CHINA AIRLINES
3079;JETSTAR AIRWAYS
3080;SWOOP INC
3081;XIAMEN AIRLINES
3082;KOREAN AIRLINES
3083;AIR AFRIQUE
3084;EVA AIRWAYS
3085;MIDWEST EXPRESS AIRLINES
3086;CARNIVAL AIRLINES
3087;METRO AIRLINES
3088;CROATIA AIRLINES
3089;TRANSAERO
3090;UNI AIRWAYS CORPORATION
3094;ZAMBIA AIRWAYS
3096;AIR ZIMBABWE
3097;SPANAIR
3098;ASIANA AIRLINES
3099;CATHAY PACIFIC
3100;MALAYSIAN AIRLINE SYSTEM
3102;IBERIA
3103;GARUDA (INDONESIA)
3106;BRAATHENS S.A.F.E. (NORUEGA)
3110;WINGS AIRWAYS
3111;BRITISH MIDLAND
3112;WINDWARD ISLAND
3115;TOWER AIR
3117;VIASA
3118;VALLEY AIRLINES
3125;TAN
3126;TALAIR
3127;TACA INTERNATIONAL
3129;SURINAM AIRWAYS
3130;SUNWORLD INTERNATIONAL
3131;VLM AIRLINES
3132;FRONTIER AIRLINES
3133;SUNBELT AIRLINES
3135;SUDAN AIRWAYS
3136;QATAR AIRWAYS
3137;SINGLETON
3138;SIMMONS AIRLINES
3143;SCENIC AIRLINES
3144;VIRGIN ATLANTIC
3145;SAN JUAN AIRLINES
3146;LUXAIR
3148;AIR LITTORAL SA
3151;AIR ZAIRE
3154;PRINCEVILLE
3156;GO FLY LTD
3159;PBA
3161;ALL NIPPON AIRWAYS
3164;NORONTAIR
3165;NEW YORK HELICOPTER
3167;AEROCONTINENTE
3168;HAINAN AIRLINES
3170;MOUNT COOK
3171;CANADIAN AIRLINES INTERNATIONAL
3172;NATIONAIR
3174;JETBLUE AIRWAYS
3175;MIDDLE EAST AIR
3176;METROFLIGHT AIRLINES
3177;AIRTRAN AIRWAYS
3178;MESA AIR
3180;WESTJET AIRLINES
3181;MALEV
3182;LOT (POLONIA)
3183;OMAN AVIATION SERVICES
3184;LIAT
3185;LAV (VENEZUELA)
3186;LAP (PARAGUAY)
3187;LACSA (COSTA RICA)
3188;VIRGIN EXPRESS
3190;JUGOSLAV AIR
3191;ISLAND AIRLINES
3193;INDIAN AIRLINES
3196;HAWAIIAN AIR
3197;HAVASU AIRLINES
3200;GUYANA AIRWAYS
3203;GOLDEN PACIFIC AIR
3204;FREEDOM AIR
3206;CHINA EASTERN AIRLINES
3211;NORWEGIAN AIR SHUTTLE
3212;DOMINICANA
3213;BRAATHENS REGIONAL
3215;DAN AIR SERVICES
3216;CUMBERLAND AIRLINES
3217;CSA
3218;CROWN AIR
3219;COPA
3220;COMPAÑÍA FAUCETT
3221;TRANSPORTES AÉREOS MILITARES ECUATORIANOS
3222;COMMAND AIRWAYS
3223;COMAIR
3226;SKYWAYS AIR
3228;CAYMAN AIRWAYS
3229;SAETA – SOCIEDAD ECUATORIANOS DE TRANSPORTES AÉREOS
3231;SAHSA – SERVICIO AÉREO DE HONDURAS
3233;CAPITOL AIR
3234;CARIBBEAN AIRLINES
3235;BROCKWAY AIR
3236;AIR ARABIA AIRLINE
3238;BEMIDJI AIRLINES
3239;BAR HARBOR AIRLINES
3240;BAHAMASAIR
3241;AVIATECA (GUATEMALA)
3242;AVENSA
3243;AUSTRIAN AIR SERVICE
3245;EASYJET AIRLINES
3246;RYANAIR
3247;GOL AIRLINES
3248;TAM AIRLINES
3251;ALOHA AIRLINES
3252;ALM
3254;US AIR SHUTTLE
3256;ALASKA AIRLINES
3259;AMERICAN TRANS AIR
3260;SPIRIT AIRLINES
3261;AIR CHINA
3262;RENO AIR, INC.
3263;AERO SERVICIO CARABOBO
3266;AIR SEYCHELLES
3267;AIR PANAMÁ
3280;AIR JAMAICA
3282;AIR DJIBOUTI
3284;AERO ISLAS VÍRGENES
3285;AEROPERÚ
3286;AEROLÍNEAS NICARAGUENSES
3287;AERO COACH AVIATION
3292;CYPRUS AIRWAYS
3293;ECUATORIANA
3294;ETHIOPIAN AIRLINES
3295;KENYA AIRWAYS
3296;AIR BERLIN
3297;TAROM ROMANIAN AIR TRANSPORT
3298;AIR MAURITIUS
3299;WIDEROE’S FLYVESELSKAP
3300;AZUL AIR
3301;WIZZ AIR
3302;FLYBE LTD
3303;TIGERAIR
3308;CHINA SOUTHERN AIRLINES
3351;EMPRESAS DE ALQUILER DE AUTOMÓVILES AFILIADAS
3352;AMERICAN INTL RENT-A-CAR
3353;BROOKS RENT-A-CAR
3354;ACTION AUTO RENTAL
3355;SIXT CAR RENTAL
3357;HERTZ
3359;PAYLESS CAR RENTAL
3360;SNAPPY CAR RENTAL
3361;AIRWAYS RENT-A-CAR
3362;ALTRA AUTO RENTAL
3364;AGENCY RENT-A-CAR
3366;BUDGET RENT-A-CAR
3368;HOLIDAY RENT-A-CAR
3370;RENT-A-WRECK
3374;ACCENT RENT-A-CAR
3376;AJAX RENT-A-CAR
3380;TRIANGLE RENT-A-CAR
3381;EUROP CAR
3385;TROPICAL RENT-A-CAR
3386;SHOWCASE RENTAL CARS
3387;ALAMO RENT-A-CAR
3388;MERCHANTS RENT-A-CAR
3389;AVIS RENT-A-CAR
3390;DOLLAR RENT-A-CAR
3391;EUROPE BY CAR
3393;NATIONAL CAR RENTAL
3394;KEMWELL GROUP RENT-A-CAR
3395;THRIFTY CAR RENTAL
3396;TILDEN RENT-A-CAR
3398;ECONO-CAR RENT-A-CAR
3400;AUTO HOST CAR RENTALS
3405;ENTERPRISE RENT-A-CAR
3409;GENERAL RENT-A-CAR
3412;A-1 RENT-A-CAR
3414;GODFREY NATL RENT-A-CAR
3420;ANSA INTL RENT-A-CAR
3421;ALLSTATE RENT-A-CAR
3423;AVCAR RENT-A-CAR
3425;AUTOMATE RENT-A-CAR
3427;AVON RENT-A-CAR
3428;CAREY RENT-A-CAR
3429;INSURANCE RENT-A-CAR
3430;MAJOR RENT-A-CAR
3431;REPLACEMENT RENT-A-CAR
3432;RESERVE RENT-A-CAR
3433;UGLY DUCKLING RENT-A-CAR
3434;USA RENT-A-CAR
3435;VALUE RENT-A-CAR
3436;AUTOHANSA RENT-A-CAR
3437;CITE RENT-A-CAR
3438;INTERENT RENT-A-CAR
3439;MILLEVILLE RENT-A-CAR
3441;ADVANTAGE RENT-A-CAR
3501;HOLIDAY INNS
3502;BEST WESTERN HOTELS
3503;SHERATON
3504;HOTELES HILTON
3505;HOTELES FORTE
3506;HOTELES GOLDEN TULIP
3507;FRIENDSHIP INNS
3508;QUALITY INNS
3509;MARRIOTT
3510;DAYS INNS
3511;HOTELES ARABELLA
3512;HOTELES INTERCONTINENTAL
3513;WESTIN
3514;AMERISUITES
3515;RODEWAY INNS
3516;LA QUINTA INN AND SUITES
3517;HOTELES AMERICANA
3518;HOTELES SOL
3519;HOTELES PULLMAN INTERNATIONAL
3520;HOTELES MERIDIEN
3521;ROYAL LAHAINA RESORTS
3522;HOTEL TOKYO
3523;HOTEL PENINSULA
3524;HOTELES WELCOMGROUP
3525;HOTELES DUNFEY
3526;HOTELES PRINCE
3527;HOTEL DOWNTOWNER-PASSPORT
3528;RED LION INNS
3529;HOTELES CP
3530;HOTELES RENAISSANCE
3531;KAUAI COCONUT BEACH RESORT
3532;ROYAL KONA RESORT
3533;HOTEL IBIS
3534;HOTELES SOUTHERN PACIFIC
3535;HILTON INTERNATIONALS
3536;HOTELES AMFAC
3537;ANA HOTEL
3538;HOTELES CONCORDE
3539;HOTELES SUMMERFIELD SUITES
3540;HOTELES IBEROTEL
3541;HOTEL OKURA
3542;HOTELES ROYAL
3543;HOTELES FOUR SEASONS
3544;HOTELES CIGA
3545;SHANGRI-LA INTERNATIONAL
3546;HOTEL SIERRA
3548;HOTELES MELIA
3549;AUBERGE DES GOVERNEURS
3550;REGAL 8 INNS
3551;MIRAGE HOTEL AND CASINO
3552;HOTELES COAST
3553;PARK INNS INTERNATIONAL
3554;PINEHURST RESORT
3555;TREASURE ISLAND HOTEL AND CASINO
3556;BARTON CREEK RESORT
3557;MANHATTAN EAST SUITE HOTELS
3558;JOLLY HOTELS
3559;CANDLEWOOD SUITES
3560;ALADDIN RESORT AND CASINO
3561;GOLDEN NUGGET
3562;COMFORT INNS
3563;JOURNEY’S END MOTELS
3564;SAM’S TOWN HOTEL AND CASINO
3565;RELAX INNS
3566;GARDEN PLACE HOTEL
3567;SOHO GRAND HOTEL
3568;HOTELES LADBROKE
3569;TRIBECA GRAND HOTEL
3570;HOTELES FORUM
3571;GRAND WAILEA RESORT
3572;HOTELES MIYAKO
3573;HOTELES SANDMAN
3574;VENTURE INNS
3575;HOTELES VAGABOND
3576;LA QUINTA RESORT
3577;HOTEL MANDARIN ORIENTAL
3578;FRANKENMUTH BAVARIAN
3579;HOTEL MERCURE
3580;HOTEL DEL CORONADO
3581;DELTA HOTEL
3582;CALIFORNIA HOTEL AND CASINO
3583;RADISSON BLU
3584;PRINCESS HOTELS INTERNATIONAL
3585;HUNGAR HOTELS
3586;SOKOS HOTELS
3587;DORAL HOTELS
3588;HELMSLEY HOTELS
3589;DORAL GOLF RESORT
3590;HOTELES FAIRMONT
3591;HOTELES SONESTA
3592;HOTELES OMNI
3593;HOTELES CUNARD
3594;ARIZONA BILTMORE
3595;HOSPITALITY INNS
3596;WYNN LAS VEGAS
3597;RIVERSIDE RESORT HOTEL AND CASINO
3598;HOTELES REGENT INTERNATIONAL
3599;HOTELES PANNONIA
3600;SADDLEBROOK RESORT TAMPA
3601;TRADEWINDS RESORTS
3602;HUDSON HOTEL
3603;NOAH’S HOTELS
3604;HILTON GARDEN INN
3607;FONTAINEBLEAU RESORTS
3608;GAYLORD OPRYLAND
3609;GAYLORD PALMS
3612;MOEVENPICK HOTELS
3613;MICROTEL INNS & SUITES
3614;AMERICINN
3615;TRAVELODGE
3617;AMERICA’S BEST VALUE INN
3618;GREAT WOLF
3619;ALOFT
3620;BINION’S HORSESHOE CLUB
3621;EXTENDED STAY
3622;MERLIN HOTELS
3623;DORINT HOTELS
3624;LADY LUCK HOTEL AND CASINO
3625;HOTEL UNIVERSALE
3626;STUDIO PLUS
3627;EXTENDED STAY AMERICA
3628;EXCALIBUR HOTEL AND CASINO
3629;DAN HOTELS
3630;TOKYU HOTELS
3631;SLEEP INN
3632;THE PHOENICIAN
3633;RANK HOTELS
3634;SWISSOTEL
3635;RESO HOTELS
3636;SAROVA HOTELS
3637;RAMADA INNS
3638;HOWARD JOHNSON
3639;MOUNT CHARLOTTE THISTLE
3640;HYATT HOTELS
3641;SOFITEL HOTELS
3642;NOVOTEL HOTELS
3643;STEIGENBERGER HOTELS
3644;ECONO LODGES
3645;QUEENS MOAT HOUSES
3646;HOTELES SWALLOW
3647;HOTELES HUSA
3648;HOTELES DE VERE
3649;HOTELES RADISSON
3650;RED ROOF INNS
3651;IMPERIAL LONDON HOTEL
3652;HOTELES EMBASSY
3653;HOTELES PENTA
3654;HOTELES LOEWS
3655;HOTELES SCANDIC
3656;HOTELES SARA
3657;HOTELES OBEROI
3658;HOTELES NEW OTANI
3659;HOTELES TAJ INTERNATIONAL
3660;KNIGHTS INNS
3661;HOTELES METROPOLE
3662;HOTEL Y CASINO CIRCUS CIRCUS
3663;HOTELES EL PRESIDENTE
3664;FLAG INN
3665;HAMPTON INNS
3666;HOTELES STAKIS
3667;HOTEL Y CASINO LUXOR
3668;HOTELES MARITIM
3669;HOTEL Y CASINO ELDORADO
3670;HOTELES ARCADE
3671;HOTELES ARCTIA
3672;HOTELES CAMPANILE
3673;HOTELES IBUSZ
3674;HOTELES RANTASIPI
3675;INTERHOTEL CEDOK
3676;HOTEL Y CASINO MONTE CARLO
3677;HOTELES CLIMAT DE FRANCE
3678;HOTELES CUMULUS
3679;HOTEL Y CASINO SILVER LEGACY
3680;HOTEIS OTHAN
3681;HOTELES ADAMS MARK
3682;HOTEL Y CASINO SAHARA
3683;BRADBURY SUITES
3684;BUDGET HOST INNS
3685;BUDGETEL INNS
3686;SUSSE CHALET
3687;CLARION HOTELS
3688;COMPRI HOTELS
3689;CONSORT HOTELS
3690;COURTYARD BY MARRIOTT
3691;DILLON INNS
3692;DOUBLETREE HOTELS
3693;DRURY INNS
3694;ECONOMY INNS OF AMERICA
3695;EMBASSY SUITES
3696;EXEL INNS
3697;FAIRFIELD HOTELS
3698;HARLEY HOTELS
3699;MIDWAY MOTOR LODGE
3700;MOTEL 6
3701;LA MANSION DEL RIO
3702;THE REGISTRY HOTELS
3703;RESIDENCE INNS
3704;ROYCE HOTELS
3705;SANDMAN INNS
3706;SHILO INNS
3707;SHONEY'S INNS
3708;VIRGIN RIVER HOTEL Y CASINO
3709;SUPER 8 MOTELS
3710;THE RITZ-CARLTON
3711;FLAG INNS (AUSTRALIA)
3712;BUFFALO BILL'S HOTEL Y CASINO
3713;QUALITY PACIFIC HOTEL
3714;FOUR SEASONS HOTEL (AUSTRALIA)
3715;FAIRFIELD INN
3716;HOTELES CARLTON
3717;HOTELES CITY LODGE
3718;HOTELES KAROS
3719;HOTELES PROTEA
3720;HOTELES SOUTHERN SUN
3721;HILTON CONRAD
3722;WYNDHAM
3723;HOTELES RICA
3724;HOTELES INTER NOR
3725;SEA PINES RESORT
3726;RIO SUITES
3727;HOTEL BROADMOOR
3728;HOTEL Y CASINO BALLY'S
3729;JOHN ASCUAGA'S NUGGET
3730;HOTEL MGM GRAND
3731;HOTELES Y CASINOS HARRAH'S
3732;HOTEL OPRYLAND
3734;HOTELES HARVEY/BRISTOL
3735;MASTERS ECONOMY INNS
3736;COLORADO BELLE/EDGEWATER RESORT
3737;HOTEL Y CASINO RIVIERA
3738;HOTEL Y CASINO TROPICANA RESORT
3739;HOTELES Y CASINO WOODSIDE
3740;TOWNEPLACE SUITES
3741;HOTELES MILLENNIUM
3742;CLUB MED
3743;HOTEL Y SUITES BILTMORE
3744;CAREFREE RESORTS
3745;ST. HOTEL REGIS
3746;HOTEL THE ELIOT
3747;CLUBCORP/CLUBRESORTS
3748;WELLESLEY INNS
3749;HOTEL THE BEVERLY HILLS
3750;HOTELES CROWNE PLAZA
3751;HOMEWOOD SUITES
3752;HOTELES PEABODY
3753;GREENBRIAR RESORTS
3754;AMELIA ISLAND PLANTATION
3755;THE HOMESTEAD
3756;TOYOKO INN
3757;CANYON RANCH
3758;HOTEL KAHALA MANDARIN ORIENTAL
3759;THE ORCHID AT MAUNA LANI
3760;HOTEL HALEKULANI/WAIKIKI PARC
3761;HOTEL Y CASINO PRIMADONNA
3762;HOTEL Y CASINO WHISKEY PETE'S
3763;BODEGA Y RESORT CHATEAU ELAN
3764;HOTEL Y CASINO BEAU RIVAGE
3765;BELLAGIO
3766;HOTEL Y CASINO FREMONT
3767;HOTEL Y CASINO MAIN STREET STATION
3768;HOTEL Y CASINO SILVER STAR
3769;HOTEL Y CASINO STRATOSPHERE
3770;SPRINGHILL SUITES
3771;HOTEL Y CASINO CAESAR'S CASINO
3772;NEMACOLIN WOODLANDS
3773;THE VENETIAN RESORT HOTEL CASINO
3774;HOTEL Y CASINO NEW YORK-NEW YORK
3775;SANDS RESORT
3776;NEVELE GRAND RESORT AND COUNTRY CLUB
3777;MANDALAY BAY RESORT
3778;HOTELES FOUR POINTS
3779;HOTELES W
3780;DISNEY RESORTS
3781;HOTELES PATRICIA GRAND RESORT
3782;HOTELES Y RESORTS ROSEN
3783;TOWN AND COUNTRY RESORT & CONVENTION CENTER
3784;HOTELES FIRST HOSPITALITY
3785;HOTELES Y RESORTS OUTRIGGER
3786;HOTELES OHANA DE HAWÁI
3787;CARIBE ROYALE RESORTS
3788;HOTEL ALA MOANA
3789;SMUGGLER’S NOTCH RESORT
3790;HOTELES RAFFLES
3791;STAYBRIDGE SUITES
3792;HOTEL CASINO CLARIDGE
3793;HOTELES FLAMINGO
3794;HOTELES GRAND CASINO
3795;HOTEL PARIS LAS VEGAS
3796;HOTEL PEPPERMILL CASINO
3797;ATLANTIC CITY HILTON RESORTS
3798;EMBASSY VACATION RESORT
3799;HALE KOA HOTEL
3800;HOMESTEAD SUITES
3801;WILDERNESS HOTEL AND RESORT
3802;THE PALACE HOTEL
3807;ELEMENT
3808;LXR
3811;PREMIER INN
3812;HYATT PLACE
3813;HOTEL INDIGO
3814;THE ROOSEVELT HOTEL NY
3815;NICKELODEON FAMILY SUITES BY HOLIDAY INN
3816;HOME2SUITES
3818;MAINSTAY SUITES
3819;OXFORD SUITES
3820;JUMEIRAH ESSEX HOUSE
3821;CARIBE ROYALE
3822;CROSSLAND
3823;GRAND SIERRA RESORT
3824;ARIA
3825;VDARA
3826;AUTOGRAPH
3827;GALT HOUSE
3828;COSMOPOLITAN OF LAS VEGAS
3829;COUNTRY INN BY RADISSON
3830;PARK PLAZA HOTEL
3831;WALDORF
3832;CURIO HOTELS
3833;CANOPY
3834;BAYMONT INN & SUITES
3835;DOLCE HOTELS AND RESORTS
3836;HAWTHORN BY WYNDHAM
3837;HOSHINO RESORTS
3838;HOTELES KIMPTON
3839;HOTELES KYORITSU
4011;FERROCARRILES
4111;TRANSPORTE LOCAL Y SUBURBANO DE PASAJEROS, INCLUYENDO TRANSBORDADORES
4112;SERVICIOS DE TRENES DE PASAJEROS
